id,sensor_number,sensor_id,temperature,humidity,voltage,rssi,time_to_connect,sensor_time,fetched_at
1,45,6086120,23.43,50.4,3.0,-75,1,2025-06-12 03:04:26Z,2025-06-13T02:41:10.225305
2,45,6086120,23.42,48.7,3.0,-76,1,2025-06-12 04:02:13Z,2025-06-13T02:41:10.226981
3,45,6086120,23.42,50.4,3.0,-78,1,2025-06-12 05:00:00Z,2025-06-13T02:41:10.228175
4,45,6086120,23.42,50.5,3.0,-75,1,2025-06-12 05:57:46Z,2025-06-13T02:41:10.229142
5,45,6086120,23.53,48.7,3.0,-74,1,2025-06-12 06:55:35Z,2025-06-13T02:41:10.230257
6,45,6086120,23.61,52.8,3.0,-78,1,2025-06-12 07:53:17Z,2025-06-13T02:41:10.231326
7,45,6086120,19.05,51.4,3.0,-74,1,2025-06-12 08:50:22Z,2025-06-13T02:41:10.232405
8,45,6086120,17.97,59.0,3.0,-75,1,2025-06-12 09:47:39Z,2025-06-13T02:41:10.233380
9,45,6086120,18.29,60.6,3.0,-77,1,2025-06-12 10:45:33Z,2025-06-13T02:41:10.234337
10,45,6086120,18.27,60.5,3.0,-75,1,2025-06-12 11:43:20Z,2025-06-13T02:41:10.235273
11,45,6086120,18.33,61.0,3.0,-76,1,2025-06-12 12:41:11Z,2025-06-13T02:41:10.236796
12,45,6086120,18.21,60.6,3.0,-75,1,2025-06-12 13:39:01Z,2025-06-13T02:41:10.238214
13,45,6086120,18.09,64.5,3.0,-77,1,2025-06-12 14:36:49Z,2025-06-13T02:41:10.239695
14,45,6086120,17.99,60.6,3.0,-74,1,2025-06-12 15:34:30Z,2025-06-13T02:41:10.241165
15,45,6086120,19.83,62.1,3.0,-75,1,2025-06-12 16:32:24Z,2025-06-13T02:41:10.242648
16,45,6086120,22.78,53.4,3.0,-75,1,2025-06-12 17:30:39Z,2025-06-13T02:41:10.244128
17,45,6086120,23.6,50.9,3.0,-74,1,2025-06-12 18:28:36Z,2025-06-13T02:41:10.245599
